id,city,state,2016_estimate,2010,2016 area,density,location
181,Mesquite, Texas,"143,736","139,824",122.2 km2,"1,176/km2",32.7629°N 96.5888°W
182,Killeen, Texas,"143,400","127,921",138.6 km2,"1,030/km2",31.0777°N 97.7320°W
183,Syracuse, New York,"143,378","145,170",64.7 km2,"2,214/km2",43.0410°N 76.1436°W
184,McAllen, Texas,"142,212","129,877",151.3 km2,940/km2,26.2322°N 98.2464°W
185,Pasadena, California,"142,059","137,122",59.6 km2,"2,385/km2",34.1606°N 118.1396°W
186,Bellevue, Washington,"141,400","122,363",86.8 km2,"1,630/km2",47.5979°N 122.1565°W
187,Fullerton, California,"140,721","135,161",58.0 km2,"2,425/km2",33.8857°N 117.9280°W
188,Orange, California,"140,504","136,416",65.8 km2,"2,136/km2",33.7870°N 117.8613°W
189,Dayton, Ohio,"140,489","141,527",144.3 km2,974/km2,39.7774°N 84.1996°W
190,Miramar, Florida,"138,449","122,041",76.1 km2,"1,818/km2",25.9770°N 80.3358°W
191,Thornton, Colorado,"136,703","118,772",92.5 km2,"1,478/km2",39.9194°N 104.9428°W
192,West Valley City, Utah,"136,574","129,480",91.9 km2,"1,485/km2",40.6885°N 112.0118°W
193,Olathe, Kansas,"135,473","125,872",157.7 km2,859/km2,38.8843°N 94.8195°W
194,Hampton[16], Virginia,"135,410","137,436",133.4 km2,"1,015/km2",37.0480°N 76.2971°W
195,Warren, Michigan,"135,125","134,056",89.1 km2,"1,517/km2",42.4929°N 83.0250°W
196,Midland, Texas,"134,610","111,147",192.7 km2,698/km2,32.0246°N 102.1135°W
197,Waco, Texas,"134,432","124,805",230.5 km2,580/km2,31.5601°N 97.1860°W
198,Charleston, South Carolina,"134,385","120,083",282.3 km2,476/km2,32.8179°N 79.9590°W
199,Columbia, South Carolina,"134,309","129,272",345.8 km2,388/km2,34.0291°N 80.8980°W
200,Denton, Texas,"133,808","113,383",241.9 km2,553/km2,33.2166°N 97.1414°W
201,Carrollton, Texas,"133,351","119,097",94.0 km2,"1,419/km2",32.9884°N 96.8998°W
202,Surprise, Arizona,"132,677","117,517",279.5 km2,470/km2,33.6706°N 112.4527°W
203,Roseville, California,"132,671","118,788",111.4 km2,"1,191/km2",38.7690°N 121.3189°W
204,Sterling Heights, Michigan,"132,427","129,699",94.5 km2,"1,401/km2",42.5812°N 83.0303°W
205,Murfreesboro, Tennessee,"131,947","108,755",144.8 km2,910/km2,35.8522°N 86.4160°W
206,Gainesville, Florida,"131,591","124,354",161.4 km2,815/km2,29.6788°N 82.3461°W
207,Cedar Rapids, Iowa,"131,127","126,326",183.4 km2,715/km2,41.9670°N 91.6778°W
208,Visalia, California,"131,074","124,442",97.1 km2,"1,349/km2",36.3273°N 119.3289°W
209,Coral Springs, Florida,"130,059","121,096",61.6 km2,"2,110/km2",26.2707°N 80.2593°W
210,New Haven, Connecticut,"129,934","129,779",48.4 km2,"2,683/km2",41.3108°N 72.9250°W
211,Stamford, Connecticut,"129,113","122,643",97.4 km2,"1,326/km2",41.0799°N 73.5460°W
212,Thousand Oaks, California,"128,888","126,683",143.0 km2,902/km2,34.1933°N 118.8742°W
213,Concord, California,"128,726","122,067",79.0 km2,"1,630/km2",37.9722°N 122.0016°W
214,Elizabeth, New Jersey,"128,640","124,969",31.9 km2,"4,038/km2",40.6664°N 74.1935°W
215,Lafayette[28], Louisiana,"127,626","120,623",139.3 km2,916/km2,30.2074°N 92.0285°W
216,Kent, Washington,"127,514","92,411",87.3 km2,"1,461/km2",47.3880°N 122.2127°W
217,Topeka, Kansas,"126,808","127,473",159.3 km2,796/km2,39.0347°N 95.6962°W
