id,city,state,2016_estimate,2010,2016 area,density,location
283,Norwalk, California,"106,178","105,549",25.1 km2,"4,226/km2",33.9076°N 118.0835°W
284,Sandy Springs, Georgia,"105,703","93,853",97.6 km2,"1,083/km2",33.9315°N 84.3687°W
285,Hillsboro, Oregon,"105,164","91,611",64.7 km2,"1,624/km2",45.5280°N 122.9357°W
286,Green Bay, Wisconsin,"105,139","104,057",117.6 km2,894/km2,44.5207°N 87.9842°W
287,Tyler, Texas,"104,798","96,900",146.6 km2,715/km2,32.3173°N 95.3059°W
288,Wichita Falls, Texas,"104,724","104,553",187.0 km2,560/km2,33.9067°N 98.5259°W
289,Lewisville, Texas,"104,659","95,290",95.1 km2,"1,101/km2",33.0466°N 96.9818°W
290,Burbank, California,"104,447","103,340",45.1 km2,"2,318/km2",34.1901°N 118.3264°W
291,Greeley, Colorado,"103,990","92,889",123.8 km2,840/km2,40.4153°N 104.7697°W
292,San Mateo, California,"103,959","97,207",31.3 km2,"3,317/km2",37.5603°N 122.3106°W
293,El Cajon, California,"103,768","99,478",37.6 km2,"2,763/km2",32.8017°N 116.9604°W
294,Jurupa Valley, California,"103,541",0,111.1 km2,932/km2,34.0026°N 117.4676°W
295,Rialto, California,"103,314","99,171",57.8 km2,"1,789/km2",34.1118°N 117.3883°W
296,Davenport, Iowa,"102,612","99,685",162.9 km2,630/km2,41.5541°N 90.6040°W
297,League City, Texas,"102,010","83,560",132.6 km2,769/km2,29.4901°N 95.1091°W
298,Edison[32], New Jersey,"101,996","99,967",78.0 km2,"1,309/km2",40.5040°N 74.3494°W
299,Davie[33], Florida,"101,871","91,992",90.4 km2,"1,127/km2",26.0791°N 80.2850°W
300,Las Cruces, New Mexico,"101,759","97,618",199.2 km2,511/km2,32.3264°N 106.7897°W
301,South Bend, Indiana,"101,735","101,168",107.2 km2,949/km2,41.6769°N 86.2690°W
302,Vista, California,"101,659","93,834",48.4 km2,"2,099/km2",33.1895°N 117.2386°W
303,Woodbridge[32], New Jersey,"101,389","99,585",60.3 km2,"1,680/km2",40.5607°N 74.2927°W
304,Renton, Washington,"100,953","90,927",60.6 km2,"1,666/km2",47.4761°N 122.1920°W
305,Lakewood[32], New Jersey,"100,758","92,843",64.0 km2,"1,575/km2",40.0771°N 74.2004°W
306,San Angelo, Texas,"100,702","93,200",155.1 km2,649/km2,31.4411°N 100.4505°W
307,Clinton[34], Michigan,"100,392","96,796",72.8 km2,"1,380/km2",42.5903°N 82.9170°W
